observable	conditionRef	condition	measurement	time	scaling	offset	sigma	observableTransformation
yPKDpN0	model1_data1	model1_data2	1	0	1	0	0.974100018572643	lin
yPKDpN0	model1_data1	model1_data2	1.61952429260506	3	1	0	0.974100018572643	lin
yPKDpN0	model1_data1	model1_data2	1.62346610690388	6	1	0	0.974100018572643	lin
yPKDpN0	model1_data1	model1_data2	1	0	1	0	0.974100018572643	lin
yPKDpN0	model1_data1	model1_data2	1.04144515532369	3	1	0	0.974100018572643	lin
yPKDpN0	model1_data1	model1_data2	1.19777253290266	a	1	0	0.974100018572643	lin
yPKDpN0	model1_data1	model1_data2	1	0	1	0	0.974100018572643	lin
yPKDpN0	model1_data1	model1_data2	1.11664558411405	3	1	0	0.974100018572643	lin
yPKDpN0	model1_data1	model1_data2	1.16506534825346	6	1	0	0.974100018572643	lin
yPKDpN24	model1_data1	model1_data2	1	24	1	0	1.08030443428794	lin
yPKDpN24	model1_data1	model1_data2	10.8539125071806	27	1	0	1.08030443428794	lin
yPKDpN24	model1_data1	model1_data2	7.90752795017749	30	1	0	1.08030443428794	lin
yPKDpN24	model1_data1	model1_data2	1	24	1	0	1.08030443428794	lin
yPKDpN24	model1_data1	model1_data2	7.67388639540471	27	1	0	1.08030443428794	lin
yPKDpN24	model1_data1	model1_data2	5.26782415584798	30	1	0	1.08030443428794	lin
yPKDpN24	model1_data1	model1_data2	1	24	1	0	1.08030443428794	lin
yPKDpN24	model1_data1	model1_data2	8.61855126077106	27	1	0	1.08030443428794	lin
yPKDpN24	model1_data1	model1_data2	8.15542502341969	30	1	0	1.08030443428794	lin
yPKDpN25	model1_data1	model1_data2	0.0967193693665613	24	1	0	0.117466359121065	lin
yPKDpN25	model1_data1	model1_data2	0.763860217509583	24.08	1	0	0.117466359121065	lin
yPKDpN25	model1_data1	model1_data2	0.875441879039773	24.17	1	0	0.117466359121065	lin
yPKDpN25	model1_data1	model1_data2	0.875945940205186	24.25	1	0	0.117466359121065	lin
yPKDpN25	model1_data1	model1_data2	1.3137153148753	24.5	1	0	0.117466359121065	lin
yPKDpN25	model1_data1	model1_data2	1	25	1	0	0.117466359121065	lin
yPKDpN25	model1_data1	model1_data2	0.170905937915681	24	1	0	0.117466359121065	lin
yPKDpN25	model1_data1	model1_data2	0.910004110557928	24.08	1	0	0.117466359121065	lin
yPKDpN25	model1_data1	model1_data2	1.0745669074101	24.17	1	0	0.117466359121065	lin
yPKDpN25	model1_data1	model1_data2	1.27322266354761	24.25	1	0	0.117466359121065	lin
yPKDpN25	model1_data1	model1_data2	1.30926970578305	24.5	1	0	0.117466359121065	lin
yPKDpN25	model1_data1	model1_data2	1	25	1	0	0.117466359121065	lin
yPKDpN25	model1_data1	model1_data2	0.0957289051008686	24	1	0	0.117466359121065	lin
yPKDpN25	model1_data1	model1_data2	0.784837220290145	24.08	1	0	0.117466359121065	lin
yPKDpN25	model1_data1	model1_data2	1.16906286705986	24.17	1	0	0.117466359121065	lin
yPKDpN25	model1_data1	model1_data2	1.25508347672464	24.25	1	0	0.117466359121065	lin
yPKDpN25	model1_data1	model1_data2	1.24718662519664	24.5	1	0	0.117466359121065	lin
yPKDpN25	model1_data1	model1_data2	1	25	1	0	0.117466359121065	lin
yPKDpN25	model1_data1	model1_data2	0.822254768345283	24.08	1	0	0.117466359121065	lin
yPKDpN25	model1_data1	model1_data2	0.825693747821561	24.17	1	0	0.117466359121065	lin
yPKDpN25	model1_data1	model1_data2	1.38294223791404	24.25	1	0	0.117466359121065	lin
yPKDpN25	model1_data1	model1_data2	1.04870296129136	24.5	1	0	0.117466359121065	lin
yPKDpN25	model1_data1	model1_data2	1	25	1	0	0.117466359121065	lin
yPI4K3BpRN24	model1_data1	model1_data2	1	24	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	1.58425540718839	24.08	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	2.48460104800671	24.17	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	2.72910616614908	24.25	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	1.82027003397167	24.5	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	2.99534558638795	25	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	2.27924295295647	27	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	2.16054407952454	30	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	1	24	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	2.83372213664961	24.08	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	1.76734748628835	24.17	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	1.59286905367025	24.25	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	2.61621282952105	24.5	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	1.78641923752277	25	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	2.50705897265739	27	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	2.34829016141024	30	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	1	24	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	1.84134591431001	24.17	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	1.75292250662634	24.25	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	2.67541127200715	24.5	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	1.87980465913391	25	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	2.55858399985995	27	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	2.61259755888868	30	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	1	24	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	2.91675866029864	24.25	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	2.77524433527846	25	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	1	24	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	2.73995006687584	24.25	1	0	0.414223339385595	lin
yPI4K3BpRN24	model1_data1	model1_data2	2.67654460874697	25	1	0	0.414223339385595	lin
yPI4K3Bt	model1_data1	model1_data2	80034335.2791175	24	1	0	887676131	lin
yPI4K3Bt	model1_data1	model1_data2	80034335.2791175	24	1	0	887676131	lin
yPI4K3Bt	model1_data1	model1_data2	80034335.2791175	24	1	0	887676131	lin
yCERTt	model1_data1	model1_data2	509860.755350048	0	1	0	244727220419	lin
yCERTt	model1_data1	model1_data2	509860.755350048	0	1	0	244727220419	lin
