observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters
Cells_count		model1_data1	1.0	0.0		sd_count_abs
Cells_count		model1_data1	1.07519665183444	4.0		sd_count_abs
Cells_count		model1_data1	1.2239063371840502	8.0		sd_count_abs
Cells_count		model1_data1	1.42480372064749	12.0		sd_count_abs
Cells_count		model1_data1	1.6891139176382899	16.0		sd_count_abs
Cells_count		model1_data1	1.9231204748101598	20.0		sd_count_abs
Cells_count		model1_data1	2.18855258737122	24.0		sd_count_abs
Cells_count		model1_data1	2.56677967768394	28.0		sd_count_abs
Cells_count		model1_data1	3.01739714097771	32.0		sd_count_abs
Cells_count		model1_data1	3.33726227272084	36.0		sd_count_abs
Cells_count		model1_data1	3.7076329741862595	40.0		sd_count_abs
Cells_count		model1_data1	4.16217863190367	44.0		sd_count_abs
Cells_count		model1_data1	4.69023657817241	48.0		sd_count_abs
CellsCasp_count		model1_data1	0.0	0.0		sd_count_casp_abs
CellsCasp_count		model1_data1	0.0	4.0		sd_count_casp_abs
CellsCasp_count		model1_data1	0.0	8.0		sd_count_casp_abs
CellsCasp_count		model1_data1	0.0	12.0		sd_count_casp_abs
CellsCasp_count		model1_data1	0.0	16.0		sd_count_casp_abs
CellsCasp_count		model1_data1	0.0	20.0		sd_count_casp_abs
CellsCasp_count		model1_data1	0.0	24.0		sd_count_casp_abs
CellsCasp_count		model1_data1	0.0	28.0		sd_count_casp_abs
CellsCasp_count		model1_data1	0.0	32.0		sd_count_casp_abs
CellsCasp_count		model1_data1	0.0	36.0		sd_count_casp_abs
CellsCasp_count		model1_data1	0.0	40.0		sd_count_casp_abs
CellsCasp_count		model1_data1	0.0	44.0		sd_count_casp_abs
CellsCasp_count		model1_data1	0.0	48.0		sd_count_casp_abs
Cells_count		model1_data2	0.963064691916472	0.0		sd_count_abs
Cells_count		model1_data2	1.04129260168943	4.0		sd_count_abs
Cells_count		model1_data2	1.18773163719962	8.0		sd_count_abs
Cells_count		model1_data2	1.4047671727206201	12.0		sd_count_abs
Cells_count		model1_data2	1.6423130531822199	16.0		sd_count_abs
Cells_count		model1_data2	1.8335907183463	20.0		sd_count_abs
Cells_count		model1_data2	2.1121587786168603	24.0		sd_count_abs
Cells_count		model1_data2	2.49900659069525	28.0		sd_count_abs
Cells_count		model1_data2	2.9020722659640197	32.0		sd_count_abs
Cells_count		model1_data2	3.21784680116244	36.0		sd_count_abs
Cells_count		model1_data2	3.54411489726576	40.0		sd_count_abs
Cells_count		model1_data2	4.0172995507123	44.0		sd_count_abs
Cells_count		model1_data2	4.5214895999320595	48.0		sd_count_abs
CellsCasp_count		model1_data2	0.0009542987021980001	0.0		sd_count_casp_abs
CellsCasp_count		model1_data2	0.0	4.0		sd_count_casp_abs
CellsCasp_count		model1_data2	0.004293226714106	8.0		sd_count_casp_abs
CellsCasp_count		model1_data2	0.0023853742735670002	12.0		sd_count_casp_abs
CellsCasp_count		model1_data2	0.0	16.0		sd_count_casp_abs
CellsCasp_count		model1_data2	0.0	20.0		sd_count_casp_abs
CellsCasp_count		model1_data2	0.0	24.0		sd_count_casp_abs
CellsCasp_count		model1_data2	0.0	28.0		sd_count_casp_abs
CellsCasp_count		model1_data2	0.0	32.0		sd_count_casp_abs
CellsCasp_count		model1_data2	0.0	36.0		sd_count_casp_abs
CellsCasp_count		model1_data2	0.0	40.0		sd_count_casp_abs
CellsCasp_count		model1_data2	0.0	44.0		sd_count_casp_abs
CellsCasp_count		model1_data2	0.0	48.0		sd_count_casp_abs
Cells_count		model1_data3	0.948324837020532	0.0		sd_count_abs
Cells_count		model1_data3	1.05235382505418	4.0		sd_count_abs
Cells_count		model1_data3	1.16894737351817	8.0		sd_count_abs
Cells_count		model1_data3	1.3719798233988703	12.0		sd_count_abs
Cells_count		model1_data3	1.56445911526602	16.0		sd_count_abs
Cells_count		model1_data3	1.66497038396182	20.0		sd_count_abs
Cells_count		model1_data3	1.7609589770752299	24.0		sd_count_abs
Cells_count		model1_data3	1.8504142371532801	28.0		sd_count_abs
Cells_count		model1_data3	1.95394037458273	32.0		sd_count_abs
Cells_count		model1_data3	2.07304668614002	36.0		sd_count_abs
Cells_count		model1_data3	2.2665309342517204	40.0		sd_count_abs
Cells_count		model1_data3	2.53288605703294	44.0		sd_count_abs
Cells_count		model1_data3	2.81381490776975	48.0		sd_count_abs
CellsCasp_count		model1_data3	0.015579429163994	0.0		sd_count_casp_abs
CellsCasp_count		model1_data3	0.0	4.0		sd_count_casp_abs
CellsCasp_count		model1_data3	0.0	8.0		sd_count_casp_abs
CellsCasp_count		model1_data3	0.0	12.0		sd_count_casp_abs
