observableId	preequilibrationCondition	simulationCondition	measurement	time	observableParameters	noiseParameters	observableTransformation
open_probability		model1_data1	0.0	0.0			
open_probability		model1_data1	0.12189454652347739	0.07			
open_probability		model1_data1	0.06059555380895721	0.14			
open_probability		model1_data1	0.02992774362754406	0.21			
open_probability		model1_data1	0.016966738060837094	0.28			
open_probability		model1_data1	0.010950865102332799	0.35			
open_probability		model1_data1	0.007889935956001579	0.42			
open_probability		model1_data1	0.006208795803398234	0.49			
open_probability		model1_data1	0.0052279957908099	0.56			
open_probability		model1_data1	0.0046287676363144575	0.63			
open_probability		model1_data1	0.0042497739446532845	0.7			
open_probability		model1_data1	0.004003778690145746	0.77			
open_probability		model1_data1	0.0038409137846341476	0.84			
open_probability		model1_data1	0.003731366618312819	0.91			
open_probability		model1_data1	0.003656677446066262	0.98			
open_probability		model1_data2	0.0	0.0			
open_probability		model1_data2	0.21567814241510583	0.07			
open_probability		model1_data2	0.163761426885113	0.14			
open_probability		model1_data2	0.10221743027733746	0.21			
open_probability		model1_data2	0.06758662790505315	0.28			
open_probability		model1_data2	0.047941600085110385	0.35			
open_probability		model1_data2	0.03624681177927684	0.42			
open_probability		model1_data2	0.028958334975966137	0.49			
open_probability		model1_data2	0.02423225912485607	0.56			
open_probability		model1_data2	0.021063632687335524	0.63			
open_probability		model1_data2	0.018879468210961037	0.7			
open_probability		model1_data2	0.017339073625140703	0.77			
open_probability		model1_data2	0.01623199642303407	0.84			
open_probability		model1_data2	0.015423728256308994	0.91			
open_probability		model1_data2	0.014825697161150534	0.98			
open_probability		model1_data3	0.0	0.0			
open_probability		model1_data3	0.2618222244907059	0.07			
open_probability		model1_data3	0.24321427347502353	0.14			
open_probability		model1_data3	0.1654528681593813	0.21			
open_probability		model1_data3	0.1147198989541686	0.28			
open_probability		model1_data3	0.08353903227421684	0.35			
open_probability		model1_data3	0.06383482874785783	0.42			
open_probability		model1_data3	0.050947686922729635	0.49			
open_probability		model1_data3	0.04224738736181357	0.56			
open_probability		model1_data3	0.03620708726971903	0.63			
open_probability		model1_data3	0.031910713745901945	0.7			
open_probability		model1_data3	0.028790694098720634	0.77			
open_probability		model1_data3	0.026484557063220237	0.84			
open_probability		model1_data3	0.024754225647049866	0.91			
open_probability		model1_data3	0.023439256475872562	0.98			
open_probability		model1_data4	0.0	0.0			
open_probability		model1_data4	0.25642163821128566	0.07			
open_probability		model1_data4	0.24404960296331088	0.14			
open_probability		model1_data4	0.15756704365891333	0.21			
open_probability		model1_data4	0.10226280920366583	0.28			
open_probability		model1_data4	0.0699222777042946	0.35			
open_probability		model1_data4	0.05052218182637596	0.42			
open_probability		model1_data4	0.03842995252392274	0.49			
open_probability		model1_data4	0.030609970408550714	0.56			
open_probability		model1_data4	0.025383465215539757	0.63			
open_probability		model1_data4	0.021788797300514105	0.7			
open_probability		model1_data4	0.019255261437111763	0.77			
open_probability		model1_data4	0.017432484512351923	0.84			
open_probability		model1_data4	0.016098394582074453	0.91			
open_probability		model1_data4	0.015108032006752694	0.98			
open_probability		model1_data5	0.0	0.0			
open_probability		model1_data5	0.20995678277830723	0.07			
open_probability		model1_data5	0.17191280230938064	0.14			
open_probability		model1_data5	0.09122059890961792	0.21			
open_probability		model1_data5	0.04935619833721874	0.28			
open_probability		model1_data5	0.029091174010564217	0.35			
open_probability		model1_data5	0.018788457182827213	0.42			
open_probability		model1_data5	0.013206212177868621	0.49			
open_probability		model1_data5	0.009995567528940003	0.56			
open_probability		model1_data5	0.008051163083108683	0.63			
open_probability		model1_data5	0.006822135884552869	0.7			
open_probability		model1_data5	0.006018101069232624	0.77			
open_probability		model1_data5	0.0054776842563770255	0.84			
open_probability		model1_data5	0.00510679643968022	0.91			
open_probability		model1_data5	0.0048481888117934075	0.98			
open_probability		model1_data6	0.0	0.0			
open_probability		model1_data6	0.22749998185917236	0.07			
open_probability		model1_data6	0.19877733670833359	0.14			
open_probability		model1_data6	0.1138217054771493	0.21			
open_probability		model1_data6	0.06592407083460244	0.28			
open_probability		model1_data6	0.04099368612818642	0.35			
open_probability		model1_data6	0.02750984261892396	0.42			
open_probability		model1_data6	0.019820431596413134	0.49			
open_probability		model1_data6	0.015208847230140344	0.56			
open_probability		model1_data6	0.012317850790703407	0.63			
open_probability		model1_data6	0.010436146985770074	0.7			
open_probability		model1_data6	0.009172808913423359	0.77			
open_probability		model1_data6	0.00830310389222377	0.84			
open_probability		model1_data6	0.007692317288332029	0.91			
open_probability		model1_data6	0.007256603205075126	0.98			
open_probability		model1_data7	0.0	0.0			
open_probability		model1_data7	0.2618222244907059	0.07			
open_probability		model1_data7	0.24321427347502353	0.14			
open_probability		model1_data7	0.1654528681593813	0.21			
open_probability		model1_data7	0.1147198989541686	0.28			
open_probability		model1_data7	0.08353903227421684	0.35			
open_probability		model1_data7	0.06383482874785783	0.42			
open_probability		model1_data7	0.050947686922729635	0.49			
open_probability		model1_data7	0.04224738736181357	0.56			
open_probability		model1_data7	0.03620708726971903	0.63			
open_probability		model1_data7	0.031910713745901945	0.7			
open_probability		model1_data7	0.028790694098720634	0.77			
open_probability		model1_data7	0.026484557063220237	0.84			
open_probability		model1_data7	0.024754225647049866	0.91			
open_probability		model1_data7	0.023439256475872562	0.98			
open_probability		model1_data8	0.0	0.0			
open_probability		model1_data8	0.02751371670419307	0.07			
open_probability		model1_data8	0.09930723194320155	0.14			
open_probability		model1_data8	0.13020234170280914	0.21			
open_probability		model1_data8	0.12228502070786293	0.28			
open_probability		model1_data8	0.10130325856746565	0.35			
open_probability		model1_data8	0.08071079603965838	0.42			
open_probability		model1_data8	0.06435234784696145	0.49			
open_probability		model1_data8	0.05228148856135941	0.56			
open_probability		model1_data8	0.04358286072146925	0.63			
open_probability		model1_data8	0.03732674457110341	0.7			
open_probability		model1_data8	0.032792900371486536	0.77			
open_probability		model1_data8	0.02946936459380731	0.84			
open_probability		model1_data8	0.02700252239732085	0.91			
open_probability		model1_data8	0.025149254710066595	0.98			
open_probability		model1_data9	0.0	0.0			
open_probability		model1_data9	0.09372263936185317	0.07			
open_probability		model1_data9	0.1901231645115761	0.14			
open_probability		model1_data9	0.17175740987611	0.21			
open_probability		model1_data9	0.1294683842662913	0.28			
open_probability		model1_data9	0.0954411731335219	0.35			
open_probability		model1_data9	0.07214222637565101	0.42			
open_probability		model1_data9	0.056613104713730066	0.49			
open_probability		model1_data9	0.04614953350342904	0.56			
open_probability		model1_data9	0.03894626277870185	0.63			
open_probability		model1_data9	0.03387257979543602	0.7			
open_probability		model1_data9	0.03022216500319036	0.77			
open_probability		model1_data9	0.02754618701761671	0.84			
open_probability		model1_data9	0.02555268461373487	0.91			
open_probability		model1_data9	0.02404702273906096	0.98			
